,Group,Element,Action,Value,Strategy,XPath
38,Personal Info,file-upload,Input,C:\fakepath\Bike Rent on Delhi.jpg,id,"//*[@id=""file-upload""]"
39,Personal Info,Re-upload,click,,data-testid+text,"//*[@data-testid=""button"" and contains(., ""Re-upload"")]"
40,Personal Info,Upload,click,,data-testid,"//*[@data-testid=""upload-button""]"
41,Personal Info,file-upload,click,,id,"//*[@id=""file-upload""]"
42,Personal Info,file-upload,Input,C:\fakepath\Screenshot 2026-01-29 133948.png,id,"//*[@id=""file-upload""]"
43,Personal Info,Save & Continue,click,,data-testid+text,"//*[@data-testid=""button"" and contains(., ""Save & Continue"")]"
44,Personal Info,svg,click,,data-testid,"//*[@data-testid=""close-icon""]"
45,Personal Info,email,click,,id,"//*[@id=""email""]"
46,Personal Info,svg,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[2]/div[6]/div[1]/div[1]/button[1]/span[2]/svg[1]
47,Personal Info,svg,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[2]/div[6]/div[1]/div[1]/button[1]/span[2]/svg[1]
48,Personal Info,Re-upload,click,,data-testid+text,"//*[@data-testid=""button"" and contains(., ""Re-upload"")]"
49,Personal Info,"Upload*Only JPEG, JPG, or PNG ",click,,class,"//div[contains(@class, ""sm:mt-3"")]"
50,Personal Info,Upload,click,,data-testid,"//*[@data-testid=""upload-button""]"
51,Personal Info,file-upload,click,,id,"//*[@id=""file-upload""]"
52,Personal Info,Upload,click,,data-testid,"//*[@data-testid=""upload-button""]"
53,Personal Info,file-upload,click,,id,"//*[@id=""file-upload""]"
54,Personal Info,svg,click,,data-testid,"//*[@data-testid=""close-button""]"
55,Personal Info,Save & Continue,click,,data-testid+text,"//*[@data-testid=""button"" and contains(., ""Save & Continue"")]"
56,Personal Info,Add profile picture,click,,data-testid+text,"//*[@data-testid=""button"" and contains(., ""Add profile picture"")]"
57,Personal Info,Please upload profile picture,click,,absolute,/html/body/div[2]/div[1]/div[1]/div[1]/div[2]
58,Personal Info,Upload,click,,data-testid,"//*[@data-testid=""upload-button""]"
59,Personal Info,file-upload,click,,id,"//*[@id=""file-upload""]"
60,Personal Info,file-upload,Input,C:\fakepath\Screenshot 2026-01-29 133948.png,id,"//*[@id=""file-upload""]"
61,Personal Info,Save & Continue,click,,data-testid+text,"//*[@data-testid=""button"" and contains(., ""Save & Continue"")]"
62,Personal Info,otp-input-0,click,,id,"//*[@id=""otp-input-0""]"
63,Personal Info,otp-input-0,Input,1,id,"//*[@id=""otp-input-0""]"
64,Personal Info,otp-input-1,Input,2,id,"//*[@id=""otp-input-1""]"
65,Personal Info,otp-input-2,Input,1,id,"//*[@id=""otp-input-2""]"
66,Personal Info,otp-input-3,Input,2,id,"//*[@id=""otp-input-3""]"
67,Personal Info,otp-input-4,Input,1,id,"//*[@id=""otp-input-4""]"
68,Personal Info,otp-input-5,Input,2,id,"//*[@id=""otp-input-5""]"
69,Personal Info,Verify OTP,click,,data-testid,"//*[@data-testid=""submit-button""]"
