,Group,Element,Action,Value,Strategy,XPath
72,Documents,Choose an option,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Choose an option"")]"
73,Documents,Passport,click,,data-testid,"//*[@data-testid=""option-0""]"
74,Documents,Select File,click,,class,"//label[contains(@class, ""sm:text-xs"")]"
75,Documents,upload-person-id,click,,id,"//*[@id=""upload-person-id""]"
76,Documents,upload-person-id,Input,C:\fakepath\AVINASH_PASS.png,id,"//*[@id=""upload-person-id""]"
77,Documents,Save and Continue,click,,data-testid,"//*[@data-testid=""save-and-continue-button""]"
78,Additional Details,Select Employment Status,click,,data-testid+text,"//*[@data-testid=""dropdown-text"" and contains(., ""Select Employment Status"")]"
79,Additional Details,FULL TIME PERMANENT,click,,data-testid,"//*[@data-testid=""option-0""]"
80,Additional Details,FULL TIME PERMANENT,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""FULL TIME PERMANENT"")]"
81,Additional Details,FULL TIME TEMPORARY,click,,data-testid,"//*[@data-testid=""option-1""]"
82,Additional Details,FULL TIME TEMPORARY,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""FULL TIME TEMPORARY"")]"
83,Additional Details,OTHER,click,,data-testid,"//*[@data-testid=""option-2""]"
84,Additional Details,OTHER,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""OTHER"")]"
85,Additional Details,PART TIME,click,,data-testid,"//*[@data-testid=""option-3""]"
86,Additional Details,PART TIME,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""PART TIME"")]"
87,Additional Details,RETIRED NON PENSIONED,click,,data-testid,"//*[@data-testid=""option-4""]"
88,Additional Details,RETIRED NON PENSIONED,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""RETIRED NON PENSIONED"")]"
89,Additional Details,RETIRED PENSIONED,click,,data-testid,"//*[@data-testid=""option-5""]"
90,Additional Details,RETIRED PENSIONED,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""RETIRED PENSIONED"")]"
91,Additional Details,SELF EMPLOYED,click,,data-testid,"//*[@data-testid=""option-6""]"
92,Additional Details,SELF EMPLOYED,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""SELF EMPLOYED"")]"
93,Additional Details,UNEMPLOYED,click,,data-testid,"//*[@data-testid=""option-7""]"
94,Additional Details,UNEMPLOYED,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""UNEMPLOYED"")]"
95,Additional Details,FULL TIME PERMANENT,click,,data-testid,"//*[@data-testid=""option-0""]"
96,Additional Details,Select Employer,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Select Employer"")]"
97,Additional Details,ABT ENGINEERS & CONSTRUCTORS L,click,,data-testid,"//*[@data-testid=""option-0""]"
98,Additional Details,ABTENGG,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""ABTENGG"")]"
99,Additional Details,ACE CONTRACTORS LIMITED,click,,data-testid,"//*[@data-testid=""option-1""]"
100,Additional Details,ACECONT,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""ACECONT"")]"
101,Additional Details,ACELORMITTAL,click,,data-testid,"//*[@data-testid=""option-2""]"
102,Additional Details,ACELOR,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""ACELOR"")]"
103,Additional Details,AGOSTINI'S LIMITED,click,,data-testid,"//*[@data-testid=""option-3""]"
104,Additional Details,AGOSTINI,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""AGOSTINI"")]"
105,Additional Details,:r15:-year,click,,id,"//*[@id="":r15:-year""]"
106,Additional Details,occupation,click,,id,"//*[@id=""occupation""]"
107,Additional Details,occupation,Input,ENGINEER,id,"//*[@id=""occupation""]"
108,Additional Details,Choose sector,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Choose sector"")]"
109,Additional Details,OTHERS,click,,data-testid,"//*[@data-testid=""option-0""]"
110,Additional Details,OTHERS,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""OTHERS"")]"
111,Additional Details,PUBLIC SECTOR,click,,data-testid,"//*[@data-testid=""option-2""]"
112,Additional Details,PUBLIC SECTOR,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""PUBLIC SECTOR"")]"
113,Additional Details,SELF EMPLOYED,click,,data-testid,"//*[@data-testid=""option-3""]"
114,Additional Details,SELF EMPLOYED,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""SELF EMPLOYED"")]"
115,Additional Details,PRIVATE SECTOR,click,,data-testid,"//*[@data-testid=""option-1""]"
116,Additional Details,Choose Employment Type,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Choose Employment Type"")]"
117,Additional Details,Financial,click,,data-testid,"//*[@data-testid=""option-1""]"
118,Additional Details,Financial,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Financial"")]"
119,Additional Details,Production/Manufacturing,click,,data-testid,"//*[@data-testid=""option-2""]"
120,Additional Details,Production/Manufacturing,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Production/Manufacturing"")]"
121,Additional Details,Professional/Technical,click,,data-testid,"//*[@data-testid=""option-3""]"
122,Additional Details,Professional/Technical,click,,data-testid+text,"//*[@data-testid=""dropdown-text"" and contains(., ""Professional/Technical"")]"
123,Additional Details,Service,click,,data-testid,"//*[@data-testid=""option-4""]"
124,Additional Details,Service,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Service"")]"
125,Additional Details,Agricultural,click,,data-testid,"//*[@data-testid=""option-0""]"
126,Additional Details,employerAddressLine1,click,,id,"//*[@id=""employerAddressLine1""]"
127,Additional Details,employerAddressLine1,Input,1 CRANBURRY AVENUE,id,"//*[@id=""employerAddressLine1""]"
128,Additional Details,employerAddressLine2,click,,id,"//*[@id=""employerAddressLine2""]"
129,Additional Details,employerCity,click,,id,"//*[@id=""employerCity""]"
130,Additional Details,employerCity,Input,TRINCITY,id,"//*[@id=""employerCity""]"
131,Additional Details,Choose Country,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Choose Country"")]"
132,Additional Details,TRINIDAD AND TOBAGO,click,,data-testid,"//*[@data-testid=""option-0""]"
133,Additional Details,workPhoneNo,click,,id,"//*[@id=""workPhoneNo""]"
134,Additional Details,workPhoneNo,Input,465-2138,id,"//*[@id=""workPhoneNo""]"
135,Additional Details,workEmail,click,,id,"//*[@id=""workEmail""]"
136,Additional Details,Purpose Of Business Relationsh,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Purpose Of Business Relationsh"")]"
137,Additional Details,Shares,click,,data-testid,"//*[@data-testid=""option-0""]"
138,Additional Details,Shares,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Shares"")]"
139,Additional Details,Fixed Deposit,click,,data-testid,"//*[@data-testid=""option-1""]"
140,Additional Details,Fixed Deposit,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Fixed Deposit"")]"
141,Additional Details,Loan,click,,data-testid,"//*[@data-testid=""option-2""]"
142,Additional Details,Loan,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Loan"")]"
143,Additional Details,LinCU,click,,data-testid,"//*[@data-testid=""option-3""]"
144,Additional Details,Choose an option,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Choose an option"")]"
145,Additional Details,"UNDER $5,000",click,,data-testid,"//*[@data-testid=""option-5""]"
146,Additional Details,"UNDER $5,000",click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""UNDER $5,000"")]"
147,Additional Details,"OVER $27,000",click,,data-testid,"//*[@data-testid=""option-4""]"
148,Additional Details,"OVER $27,000",click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""OVER $27,000"")]"
149,Additional Details,"$5,001-$12,000",click,,data-testid,"//*[@data-testid=""option-3""]"
150,Additional Details,"$5,001-$12,000",click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""$5,001-$12,000"")]"
151,Additional Details,"$22,001-$27,000",click,,data-testid,"//*[@data-testid=""option-2""]"
152,Additional Details,"$22,001-$27,000",click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""$22,001-$27,000"")]"
153,Additional Details,"$17,001-$22,000",click,,data-testid,"//*[@data-testid=""option-1""]"
154,Additional Details,"$17,001-$22,000",click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""$17,001-$22,000"")]"
155,Additional Details,"$12,001-$17,000",click,,data-testid,"//*[@data-testid=""option-0""]"
156,Additional Details,Salary Frequency,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Salary Frequency"")]"
157,Additional Details,ANNUALLY,click,,data-testid,"//*[@data-testid=""option-0""]"
158,Additional Details,ANNUALLY,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""ANNUALLY"")]"
159,Additional Details,BIWEEKLY,click,,data-testid,"//*[@data-testid=""option-1""]"
160,Additional Details,BIWEEKLY,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""BIWEEKLY"")]"
161,Additional Details,DAILY,click,,data-testid,"//*[@data-testid=""option-2""]"
162,Additional Details,DAILY,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""DAILY"")]"
163,Additional Details,FORTNIGHTLY,click,,data-testid,"//*[@data-testid=""option-3""]"
164,Additional Details,FORTNIGHTLY,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""FORTNIGHTLY"")]"
165,Additional Details,HOURLY,click,,data-testid,"//*[@data-testid=""option-4""]"
166,Additional Details,HOURLY,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""HOURLY"")]"
167,Additional Details,QUARTERLY,click,,data-testid,"//*[@data-testid=""option-6""]"
168,Additional Details,QUARTERLY,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""QUARTERLY"")]"
169,Additional Details,HOURLY,click,,data-testid,"//*[@data-testid=""option-4""]"
170,Additional Details,HOURLY,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""HOURLY"")]"
171,Additional Details,MONTHLY,click,,data-testid,"//*[@data-testid=""option-5""]"
172,Additional Details,salary,click,,name,"//input[@name=""salary""]"
173,Additional Details,salary,Input,"$ 13,000.00",name,"//input[@name=""salary""]"
174,Additional Details,Account Funded,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Account Funded"")]"
175,Additional Details,Others,click,,data-testid,"//*[@data-testid=""option-1""]"
176,Additional Details,Others,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Others"")]"
177,Additional Details,Via Salary,click,,data-testid,"//*[@data-testid=""option-0""]"
178,Additional Details,Nationality,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Nationality"")]"
179,Additional Details,TRINIDAD AND TOBAGO,click,,data-testid,"//*[@data-testid=""option-0""]"
180,Additional Details,Country of birth,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Country of birth"")]"
181,Additional Details,TRINIDAD AND TOBAGO,click,,data-testid,"//*[@data-testid=""option-0""]"
182,Additional Details,placeOfBirth,click,,id,"//*[@id=""placeOfBirth""]"
183,Additional Details,placeOfBirth,Input,TRINCITY,id,"//*[@id=""placeOfBirth""]"
184,Additional Details,birthCertificatePinNo,click,,id,"//*[@id=""birthCertificatePinNo""]"
185,Additional Details,Country of Issuance,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Country of Issuance"")]"
186,Additional Details,TRINIDAD AND TOBAGO,click,,data-testid,"//*[@data-testid=""option-0""]"
187,Additional Details,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/label[1]/div[1]
188,Additional Details,nationalOfTTSecondary,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/label[1]/input[1]
189,Additional Details,nationalOfTTSecondary,Input,true,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/label[1]/input[1]
190,Additional Details,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/label[2]/div[1]/div[1]
191,Additional Details,nationalOfTTSecondary,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/label[2]/input[1]
192,Additional Details,nationalOfTTSecondary,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/label[2]/input[1]
193,Additional Details,Country Of Residence,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Country Of Residence"")]"
194,Additional Details,Country Of Residence,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Country Of Residence"")]"
195,Additional Details,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/label[1]/div[1]
196,Additional Details,nationalOfTTSecondary,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/label[1]/input[1]
197,Additional Details,nationalOfTTSecondary,Input,true,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/label[1]/input[1]
198,Additional Details,Marital Status,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Marital Status"")]"
199,Additional Details,COMMON LAW,click,,data-testid,"//*[@data-testid=""option-0""]"
200,Additional Details,COMMON LAW,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""COMMON LAW"")]"
201,Additional Details,DIVORCED,click,,data-testid,"//*[@data-testid=""option-1""]"
202,Additional Details,DIVORCED,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""DIVORCED"")]"
203,Additional Details,MARRIED,click,,data-testid,"//*[@data-testid=""option-2""]"
204,Additional Details,MARRIED,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""MARRIED"")]"
205,Additional Details,REMARRIED,click,,data-testid,"//*[@data-testid=""option-3""]"
206,Additional Details,REMARRIED,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""REMARRIED"")]"
207,Additional Details,SEPARATED,click,,data-testid,"//*[@data-testid=""option-4""]"
208,Additional Details,SEPARATED,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""SEPARATED"")]"
209,Additional Details,WIDOWED,click,,data-testid,"//*[@data-testid=""option-6""]"
210,Additional Details,WIDOWED,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[3]/div[2]
211,Additional Details,WIDOWED,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""WIDOWED"")]"
212,Additional Details,SINGLE,click,,data-testid,"//*[@data-testid=""option-5""]"
213,Additional Details,Highest Level of Education,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Highest Level of Education"")]"
214,Additional Details,UNDERGRADUATE DEGREE,click,,data-testid,"//*[@data-testid=""option-4""]"
215,Additional Details,UNDERGRADUATE DEGREE,click,,data-testid+text,"//*[@data-testid=""dropdown-text"" and contains(., ""UNDERGRADUATE DEGREE"")]"
216,Additional Details,OTHER,click,,data-testid,"//*[@data-testid=""option-0""]"
217,Additional Details,OTHER,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""OTHER"")]"
218,Additional Details,PRIMARY SCHOOL,click,,data-testid,"//*[@data-testid=""option-2""]"
219,Additional Details,PRIMARY SCHOOL,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""PRIMARY SCHOOL"")]"
220,Additional Details,POSTGRADUATE DEGREE,click,,data-testid,"//*[@data-testid=""option-1""]"
221,Additional Details,POSTGRADUATE DEGREE,click,,data-testid+text,"//*[@data-testid=""dropdown-text"" and contains(., ""POSTGRADUATE DEGREE"")]"
222,Additional Details,SECONDARY SCHOOL,click,,data-testid,"//*[@data-testid=""option-3""]"
223,Additional Details,Communication Method,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Communication Method"")]"
224,Additional Details,Text Message,click,,data-testid,"//*[@data-testid=""option-3""]"
225,Additional Details,Text Message,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Text Message"")]"
226,Additional Details,Phone Call,click,,data-testid,"//*[@data-testid=""option-2""]"
227,Additional Details,Phone Call,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Phone Call"")]"
228,Additional Details,Mail,click,,data-testid,"//*[@data-testid=""option-1""]"
229,Additional Details,Mail,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[5]/div[2]
230,Additional Details,Mail,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Mail"")]"
231,Additional Details,Email,click,,data-testid,"//*[@data-testid=""option-0""]"
232,Additional Details,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[6]/div[1]/div[2]/div[1]/label[1]/div[1]/div[1]
233,Additional Details,memberOfOtherCreditUnion,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[6]/div[1]/div[2]/div[1]/label[1]/input[1]
234,Additional Details,memberOfOtherCreditUnion,Input,true,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[6]/div[1]/div[2]/div[1]/label[1]/input[1]
235,Additional Details,stateNameOfCreditUnion,click,,id,"//*[@id=""stateNameOfCreditUnion""]"
236,Additional Details,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[6]/div[1]/div[2]/div[1]/label[2]/div[1]/div[1]
237,Additional Details,memberOfOtherCreditUnion,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[6]/div[1]/div[2]/div[1]/label[2]/input[1]
238,Additional Details,memberOfOtherCreditUnion,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[6]/div[1]/div[2]/div[1]/label[2]/input[1]
239,Additional Details,Save & Continue,click,,data-testid+text,"//*[@data-testid=""button"" and contains(., ""Save & Continue"")]"
240,Additional Details,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/label[1]/div[1]/div[1]
241,Additional Details,nationalOfTTPrimary,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/label[1]/input[1]
242,Additional Details,nationalOfTTPrimary,Input,true,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/label[1]/input[1]
243,Additional Details,Country of birth,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Country of birth"")]"
244,Additional Details,TRINIDAD AND TOBAGO,click,,data-testid,"//*[@data-testid=""option-0""]"
245,Additional Details,placeOfBirth,click,,id,"//*[@id=""placeOfBirth""]"
246,Additional Details,placeOfBirth,Input,TRINCITY,id,"//*[@id=""placeOfBirth""]"
